slug,name,category,region,addis_office,website,careers_url,internship_url,application_email,twitter,linkedin,telegram,posts_publicly,has_remote,has_paid,scrape_priority,verification_needed,notes
undp,United Nations Development Programme,un,global,yes,https://www.undp.org,https://jobs.undp.org,https://www.undp.org/careers/internships,,@UNDP,https://www.linkedin.com/company/undp,,yes,yes,yes,high,no,Ethiopia office runs annual omnibus intern call; recurring deadlines
undp-ethiopia,UNDP Ethiopia,un,ethiopia,yes,https://www.undp.org/ethiopia,https://jobs.undp.org,,,@UNDPEthiopia,,,yes,no,yes,high,no,May 28 2026 omnibus call; 11 streams
uneca,UN Economic Commission for Africa,un,africa-regional,yes,https://www.uneca.org,https://careers.un.org,https://www.uneca.org/vacancy-type/internship,,@_AfricanUnion @ECA_OFFICIAL,https://www.linkedin.com/company/united-nations-economic-commission-for-africa,,yes,no,no,high,no,Recurring monthly intern postings; unpaid
unicef,UNICEF,un,global,yes,https://www.unicef.org,https://jobs.unicef.org,https://www.unicef.org/careers/internships,,@UNICEF,https://www.linkedin.com/company/unicef,,yes,yes,yes,medium,no,
unicef-ethiopia,UNICEF Ethiopia,un,ethiopia,yes,https://www.unicef.org/ethiopia,https://jobs.unicef.org,,,@UNICEFEthiopia,,,yes,no,sometimes,medium,no,
unfpa,UN Population Fund,un,global,yes,https://www.unfpa.org,https://www.unfpa.org/jobs,https://www.unfpa.org/internship,,@UNFPA,,,yes,sometimes,sometimes,medium,no,
un-women,UN Women,un,global,yes,https://www.unwomen.org,https://jobs.unwomen.org,https://www.unwomen.org/en/about-us/employment/internship-programme,,@UN_Women,,,yes,sometimes,sometimes,high,no,Liaison Office to AU + UNECA in Addis
unhcr,UN High Commissioner for Refugees,un,global,yes,https://www.unhcr.org,https://unhcr.wd3.myworkdayjobs.com/en-US/External,,,@Refugees,,,yes,yes,yes,high,no,Paid even remote; rolling applications
iom,International Organization for Migration,un,global,yes,https://www.iom.int,https://www.iom.int/iom-career-gateways,,,@UNmigration,,,yes,sometimes,sometimes,high,no,
iom-ethiopia,IOM Ethiopia,un,ethiopia,yes,https://ethiopia.iom.int,https://ethiopia.iom.int/how-apply-internship,,,@IOMEthiopia,,,yes,no,no,high,no,Works through AAU; institutional nomination
